etiqueta,hu1,hu2,hu3,hu4,hu5,hu6,hu7,fft1,fft2,fft3,fft4,fft5,fft6,fft7,fft8,fft9,fft10
circle,0.786028,3.08755,3.7617,5.865,-10.715,-7.52608,-11.0825,0.998578,0.0190254,0.034527,0.0258358,0.0224769,0.00719325,0.00568573,0.0010862,0.00174603,0.00524478
circle,-0.902691,-1.72471,-2.05815,-1.55537,-3.24441,-1.95169,3.17299,0.93967,0.116812,0.311654,0.0528441,0.0126143,0.0376828,0.0369096,0.016544,0.0109588,0.0109419
circle,0.775703,2.74015,3.77342,5.09411,9.76914,6.72237,-9.61457,0.99615,0.0218012,0.0769893,0.0324026,0.00510029,0.00901475,0.00324005,0.0100316,0.00354648,0.00157946
circle,0.73071,2.03978,4.96087,6.29877,-12.2709,-7.52712,-11.9789,0.989257,0.0298252,0.140148,0.0228838,0.0122532,0.00437884,0.00937217,0.00352016,0.00609533,0.0031345
circle,-0.651319,-0.339887,-0.944482,-0.68125,1.48381,0.838225,-0.827123,0.987851,0.0569905,0.138532,0.0278636,0.00544972,0.0132358,0.0257374,0.002163,0.00697906,0.0037412
circle,0.788657,3.26563,3.91251,6.3219,11.9518,-8.48555,-11.4606,0.99855,0.0193277,0.039976,0.00920714,0.0240564,0.0141099,0.00620535,0.00407092,0.00177332,0.00219943
circle,0.753967,2.24711,5.58992,7.07529,-13.466,-8.277,-13.7225,0.993598,0.0205726,0.108944,0.0166787,0.00305084,0.00521038,0.00922073,0.00521181,0.00392463,0.00539428
circle,0.783314,2.79928,5.08023,7.02118,-13.2225,-8.99495,-13.2223,0.998244,0.0100038,0.0529491,0.017098,0.0134161,0.00633085,0.00548802,0.00205824,0.0024791,0.00721347
circle,0.7904,3.06721,5.5738,7.64346,14.4432,9.5417,-14.3684,0.998972,0.00786757,0.0428305,0.0090981,0.00519172,0.00157799,0.00616638,0.000884211,0.00253291,0.00084429
circle,-0.843392,-0.743449,-1.83315,-1.46473,-3.07567,-1.82988,2.71643,0.988193,0.0477978,0.061912,0.0463317,0.112657,0.0432726,0.0228052,0.00674008,0.00603748,0.00662419
circle,0.769474,2.46391,4.75338,6.43833,-12.3967,-7.89555,-12.0795,0.995906,0.00147732,0.0875154,0.0175755,0.00878512,0.00839199,0.00419466,0.00105912,0.00388654,0.00444627
circle,0.787882,3.30263,3.70713,6.13564,11.0748,7.79464,11.6087,0.998607,0.0192906,0.0346566,0.0272357,0.0175251,0.00601313,0.008411,0.00251814,0.00290139,0.00637154
circle,-0.566038,0.00559468,0.457302,1.46458,2.47174,1.57016,2.78418,0.996822,0.0320205,0.0125592,0.022156,0.0597643,0.00995264,0.028464,0.0110176,0.00246657,0.00796577
circle,0.796062,3.67998,5.3064,7.9989,14.6532,9.8389,15.711,0.999724,0.00829648,0.0197132,0.00658852,0.00313887,0.00251637,0.00349457,0.00120702,0.00439182,0.00101583
circle,0.769586,2.50924,3.98925,5.71826,-10.8249,-7.14283,10.6532,0.996676,0.0220935,0.0640201,0.0394042,0.0126389,0.0152166,0.00580225,0.00341603,0.00361908,0.00687182
circle,0.791791,3.32272,4.82273,6.56437,-12.8847,-8.39501,-12.2704,0.998909,0.00704382,0.0413764,0.0100656,0.0118741,0.00478796,0.0059533,0.00397535,0.00888605,0.00491364
circle,0.772717,2.52455,4.82472,6.29226,11.8737,7.59028,12.3504,0.996781,0.0183793,0.0751171,0.00439846,0.0133347,0.00881988,0.0120271,0.00208164,0.00368822,0.00297991
circle,0.779195,2.70791,4.13302,5.61526,10.5004,6.97024,11.1426,0.997283,0.00720047,0.0701898,0.015191,0.00968102,0.00876052,0.00472492,0.00206411,0.00280852,0.00339165
circle,0.782678,2.76816,4.70562,6.54023,-12.2123,-8.01714,12.5098,0.998206,0.0204263,0.0510386,0.0134782,0.00990402,0.0147991,0.00552792,0.00420457,0.00362339,0.00146578
circle,0.781787,2.75418,4.28443,5.90235,11.0192,7.34922,11.491,0.997641,0.0122785,0.0655894,0.00336617,0.0128683,0.00211154,0.0043696,0.00558967,0.00397737,0.00346602
circle,0.77314,2.59364,3.81371,5.64443,-10.3854,-6.96115,-11.0091,0.996637,0.0285454,0.0720692,0.00499966,0.0211388,0.00711791,0.00255102,0.00801241,0.00717302,0.00785585
circle,0.77981,2.73179,4.26736,6.02346,11.2572,7.57839,11.4069,0.997368,0.0146966,0.0655982,0.00587063,0.0105394,0.0137998,0.00342028,0.0134371,0.00996987,0.0104592
circle,0.784747,2.95849,3.81493,5.66789,10.4119,7.15869,-11.3695,0.998461,0.00954863,0.0486391,0.016366,0.0132146,0.0106591,0.000279766,0.00340087,0.00249097,0.00673976
circle,0.777812,2.63978,4.62817,6.55543,12.5435,8.35885,-12.1854,0.997135,0.0124796,0.0699733,0.0200155,0.0141367,0.0054046,0.00222966,0.00397635,0.00301474,0.00304215
circle,-0.726201,-0.228709,-0.196924,0.608006,-1.94312,1.20925,-0.814746,0.998759,0.0207913,0.0168558,0.0115107,0.0326024,0.0102747,0.0164606,0.0128537,0.00506986,0.00143834
circle,0.792755,3.39235,4.15538,6.51251,11.9943,8.39222,11.9997,0.999219,0.00161973,0.0301259,0.0240441,0.00381457,0.00463528,0.00172447,0.00327332,0.00293583,0.00395487
circle,0.763604,2.46211,4.07173,5.39158,-11.2531,-6.79038,10.1244,0.994423,0.0437193,0.0865326,0.0243133,0.0118539,0.0168035,0.0155166,0.0150153,0.0127163,0.00904219
circle,0.786472,2.93768,4.38015,6.26014,-12.8848,8.60865,11.5808,0.99862,0.0196392,0.0434231,0.0108759,0.0106953,0.0123371,0.00872685,0.0039155,0.00288275,0.00169024
circle,0.795097,3.50439,5.01957,7.60573,14.3966,9.81461,13.9438,0.999611,0.00131844,0.025355,0.0105048,0.00277888,0.00237658,0.000352707,0.00241941,0.00146721,0.00132966
circle,0.7645,2.40955,4.29192,5.49537,10.5285,6.94834,10.5511,0.996252,0.0114009,0.0782188,0.0248143,0.0168242,0.00834418,0.00630568,0.0123589,0.00845489,0.00074778
circle,0.762086,2.34626,4.86215,6.06432,11.5312,7.24305,12.4139,0.995605,0.0106881,0.0916826,0.00667392,0.00482417,0.00295292,0.0103302,0.00180565,0.00780704,0.00196981
circle,0.796416,4.22387,4.36746,7.70665,-13.9187,-9.95651,13.8722,0.999739,0.00103581,0.00703669,0.0207036,0.00432508,0.00379667,0.00201348,0.000599815,0.00162286,0.00187659
circle,0.782468,2.7632,4.56862,6.06509,11.4455,7.51243,11.6798,0.997966,0.0134597,0.058692,0.0178502,0.007509,0.00331526,0.00264463,0.00106688,0.00556979,0.00346529
circle,0.795917,4.64859,4.26772,7.32842,13.1793,9.70711,-13.4595,0.999755,0.00403979,0.00347766,0.0158343,0.00560294,0.002501,0.0109728,0.00355123,0.00218669,0.00598567
circle,-0.638812,-0.0266306,1.26898,0.724786,1.72367,0.867036,2.74042,0.997781,0.0114638,0.0298781,0.007624,0.0523744,0.0162984,0.0173882,0.00143787,0.00388888,0.0048377
circle,0.765809,2.42208,4.20705,5.38245,10.1907,6.61151,10.7871,0.994632,0.00626555,0.098144,0.0195108,0.019829,0.0105735,0.00859868,0.00507786,0.00580298,0.0041449
circle,-0.680287,-0.161036,-0.534599,-0.732837,-1.23001,-0.754874,1.20111,0.995202,0.0444806,0.0843167,0.0042498,0.0143308,0.011007,0.00385366,0.00668173,0.00288906,0.00848284
circle,0.783077,2.77311,4.67077,6.60791,13.4991,-8.68031,12.2479,0.997913,0.00564249,0.0605893,0.0150039,0.0134427,0.000627423,0.00621508,0.00300591,0.00286107,0.00207786
circle,0.735264,2.10239,3.70496,4.73436,8.962,5.79594,-9.67534,0.992191,0.0296678,0.114916,0.0266259,0.0160495,0.00540852,0.0178879,0.00514794,0.0100053,0.00529084
circle,0.72716,2.04983,3.60766,4.35372,8.34463,5.40103,9.00308,0.985138,0.0896726,0.144445,0.00787817,0.0161524,0.00315669,0.00920944,0.0115722,0.00345703,0.00579741
circle,-0.535299,0.103537,1.49274,1.17189,-2.59083,1.60241,-2.74563,0.996531,0.0169343,0.00313964,0.0113393,0.0736482,0.0156924,0.0120536,0.0182863,0.0182988,0.00408431
circle,0.676118,1.87373,3.56981,4.12896,-8.37622,-5.78949,-8.01622,0.981057,0.114225,0.0505112,0.104431,0.0782052,0.0522082,0.0290327,0.0223574,0.0162425,0.0239673
circle,-0.563199,-0.153328,0.411473,1.00679,1.77251,-1.48654,-2.03559,0.991987,0.0268869,0.0263441,0.0217271,0.114054,0.0120817,0.025593,0.00783835,0.01123,0.00875361
circle,0.791476,3.2466,4.21918,6.59485,12.0681,8.26292,12.2919,0.999133,0.000384031,0.0320462,0.0244554,0.00654498,0.0040004,0.00341771,0.00285528,0.00527758,0.001371
circle,-0.475218,0.419887,0.728608,1.33908,-4.72925,1.59987,2.37293,0.997266,0.0355969,0.0298339,0.0144376,0.0390455,0.0347395,0.00215244,0.0168501,0.00854097,0.00131731
circle,0.788606,3.24008,4.00379,5.76529,11.0291,7.93269,10.6914,0.99862,0.0044958,0.0341629,0.0260093,0.022338,0.012447,0.00758259,0.0109673,0.00706478,0.00361719
circle,0.78874,3.47945,3.63618,6.3974,-11.6751,-8.20593,-11.4919,0.998413,0.00643548,0.0433141,0.025655,0.0209238,0.00982261,0.00200554,0.00174593,0.00586633,0.00445614
circle,0.780153,2.86442,3.76046,5.92416,-10.9174,-7.53458,-10.9166,0.997671,0.0148627,0.0509818,0.0342036,0.0109704,0.0130921,0.0106847,0.0106356,0.00420358,0.011233
circle,0.7921,3.8468,4.36076,6.19698,12.089,9.08222,-11.4891,0.999276,0.00912836,0.020344,0.0192957,0.0150704,0.012863,0.0100304,0.00870831,0.00270408,0.00141757
circle,0.790595,3.17661,4.15453,6.38508,-11.6749,-7.99571,-12.1821,0.998927,0.00790792,0.0430177,0.0113199,0.0053616,0.00393758,0.0029616,0.00673136,0.00183893,0.0016155
circle,0.789108,3.08546,5.74801,7.39326,14.043,8.93616,14.2215,0.99888,0.00350197,0.0407118,0.0114412,0.0163557,0.0091061,0.00836056,0.00288843,0.000126829,0.00309137
circle,0.796167,3.83489,5.69984,8.16101,-15.4661,-10.1188,15.134,0.999746,0.00265157,0.0163423,0.00462453,0.0121889,0.00628781,0.00282788,0.00135217,0.00311022,0.00219907
circle,0.782901,2.80768,4.17331,6.02291,-12.0158,-7.78473,11.1246,0.997877,0.00835701,0.060908,0.0137882,0.0088948,0.005372,0.00891101,0.00622381,0.0065829,0.00151911
circle,0.743236,2.14231,5.28908,6.73026,-12.7537,-7.81201,-13.3453,0.993969,0.0189629,0.10572,0.0137595,0.00468724,0.0118641,0.0087114,0.00446131,0.00455237,0.00460527
circle,0.789836,3.17783,4.1986,6.32935,12.4133,8.68807,-11.5984,0.999016,0.00841525,0.0321481,0.0174139,0.0209291,0.00758297,0.00397182,0.000502132,0.00623752,0.00307695
circle,-0.677522,-0.307243,-0.94384,-0.800103,-1.21344,0.75447,-1.64407,0.987817,0.0465244,0.122144,0.0731254,0.00610461,0.0169271,0.0229876,0.0201991,0.0228001,0.00237399
circle,0.746513,2.20541,3.71198,4.89793,9.2326,6.06573,9.64952,0.992944,0.0288588,0.109922,0.0248341,0.0166506,0.0116382,0.0043399,0.00452529,0.00650846,0.00595508
circle,0.789171,3.20587,4.17137,6.31757,-11.6099,-7.93596,-11.9141,0.99881,0.00736737,0.0312578,0.0244986,0.0186712,0.0163403,0.00956472,0.00230726,0.00185084,0.00565022
circle,0.787304,2.92034,5.27856,6.78212,12.8224,8.25708,13.4873,0.998608,0.0127866,0.0486379,0.00837658,0.00747009,0.00553819,0.00840465,0.00312576,0.00202781,0.003463
circle,0.792489,3.54347,4.0142,6.71726,12.3137,8.63023,-12.1751,0.999203,0.00575787,0.0150389,0.0303236,0.0182672,0.00511641,0.00520835,0.00159922,5.04694e-05,0.00495424
circle,0.786204,2.88841,4.5818,6.37753,11.9708,8.05918,12.0522,0.998082,0.00650854,0.0586234,0.00924824,0.00764294,0.00771591,0.00879026,0.003942,0.00737614,0.0018017
circle,0.793568,3.39105,5.21535,7.77405,-14.6149,-9.66244,14.3181,0.999329,0.0109297,0.0290524,0.011172,0.00537878,0.0105466,0.00656323,0.00293711,0.00756244,0.00214742
circle,0.745191,2.16117,4.54118,5.71361,10.9437,6.98268,11.0529,0.991525,0.0113646,0.126869,0.0164298,0.0107147,0.0102996,0.0102831,0.00405923,0.00211688,0.00591218
circle,-0.690184,0.717642,-0.038662,0.0949723,-0.166457,-1.35013,0.494419,0.998556,0.0102873,0.0378542,0.0280494,0.0156855,0.00134851,0.00919383,0.0122516,0.00874534,0.00105373
circle,-0.659853,0.211226,0.573232,-0.0161183,0.270331,-0.137868,-0.986134,0.995768,0.0397903,0.0319956,0.0455811,0.0577668,0.0168139,0.00421709,0.00767289,0.00365277,0.00716308
circle,0.779117,2.6591,4.56219,6.11129,11.5733,7.59859,11.6271,0.997641,0.00726922,0.0662433,0.0133701,0.00415385,0.00437167,0.0033439,0.00333957,0.00545877,0.00206198
circle,0.719815,1.97314,4.04833,4.88088,9.36925,5.93576,9.83756,0.989301,0.041646,0.137623,0.00473266,0.0100196,0.00976584,0.0133596,0.0141441,0.00242597,0.0023961
circle,0.795152,3.87817,4.1952,7.14675,-13.4984,-9.87009,-12.8274,0.999518,0.00894817,0.0218458,0.0169008,0.00696356,0.00537995,0.00341338,0.00400415,0.00183633,0.00359535
circle,0.755069,2.29444,3.82213,5.31297,-9.96119,-6.51959,-10.1346,0.993393,0.0132524,0.106629,0.0307002,0.00734146,0.0229709,0.00683722,0.000998778,0.00370399,0.00624344
circle,0.775534,2.56713,5.12466,6.84893,-12.8709,-8.1411,13.2483,0.997211,0.00198452,0.0733161,0.0026111,0.00817948,0.00124555,0.00526987,0.00249947,0.00670814,0.00602947
circle,0.78722,2.92469,4.70817,6.45795,12.0733,7.97446,-12.4708,0.998725,0.0130551,0.0458858,0.0107906,0.00845356,0.000896704,0.00417428,0.00485334,0.00372261,0.00530997
circle,0.790413,3.15838,4.35586,6.82466,-12.4188,-8.40715,-13.2926,0.998871,0.00408074,0.0404713,0.0169191,0.0133186,0.00149165,0.00686364,0.001576,0.00906644,0.0023001
circle,0.78419,3.0329,3.94413,5.98136,10.946,7.84234,-11.9699,0.997804,0.00620211,0.0389817,0.0300785,0.0285771,0.026316,0.0180137,0.00941021,0.00139008,0.000418887
circle,0.774361,2.66128,3.76481,5.37979,10.4452,7.03077,9.97576,0.99759,0.0519011,0.0397757,0.014754,0.0113747,0.00390772,0.0101394,0.00722699,0.00377086,0.00274505
circle,-0.602844,-0.0296045,-0.155911,-0.0741945,-0.260638,0.418702,-0.160013,0.995158,0.0242382,0.075659,0.0333335,0.0197401,0.0417711,0.00817741,0.0010194,0.000898193,0.00594065
circle,0.782163,2.73509,5.26487,6.94669,14.4867,-9.19542,13.0528,0.997718,0.00456391,0.0647333,0.0101104,0.0077717,0.00930472,0.00891612,0.00225391,0.0033416,0.0013806
circle,0.785074,2.86931,4.20439,5.99168,11.0923,7.43333,12.0561,0.998336,0.00346711,0.0495656,0.0273655,0.00424201,0.00611328,0.00415719,0.00275878,0.00387793,0.00338778
circle,-0.710724,-0.826781,-0.704973,0.230124,-0.252144,0.178112,-0.0710121,0.991143,0.0575102,0.0224767,0.0270038,0.110347,0.0225,0.00670042,0.00640504,0.0160432,0.00819124
circle,0.786651,2.88556,5.25126,6.89319,12.9741,8.34183,-13.6688,0.998414,0.00504116,0.0536865,0.00245688,0.0117867,0.00586669,0.00389927,0.00432906,0.0068676,0.00122874
circle,0.766783,2.43723,4.11419,5.61252,11.0683,7.5293,-10.4905,0.996859,0.0332584,0.0690732,0.0144485,0.00956445,0.00704754,0.00254617,0.0040966,0.000985963,0.00445485
circle,0.797169,4.41148,4.76432,8.08419,-14.5085,-10.3524,-16.3493,0.9999,0.0030333,0.00669705,0.00969533,0.00513921,0.00185666,0.00343485,0.00139763,0.00166692,0.00254198
circle,0.787309,2.95537,4.4048,6.57722,-12.1457,-8.18225,-12.3296,0.99848,0.00162306,0.0521311,0.014443,0.00675039,0.00257606,0.00482302,0.00541008,0.00109587,0.00137856
circle,0.7905,3.23761,4.18713,6.82093,-12.3409,-8.47679,12.8997,0.998738,0.0142575,0.0432903,0.00931057,0.0100593,0.013552,0.00470401,0.00224962,0.00474088,0.00479466
circle,0.745928,2.1703,4.69946,5.95471,11.5499,7.45243,-11.3565,0.994998,0.00286889,0.096281,0.0140488,0.01935,0.00496805,0.00743189,0.00302622,0.00609341,0.00149661
circle,-0.68962,-0.0595716,0.0293738,0.568102,0.924976,0.660572,-1.18142,0.996034,0.0468511,0.0266246,0.0575215,0.0146099,0.0345902,0.0107501,0.00951299,0.00178977,0.00921351
circle,0.731376,2.04718,4.45137,5.82386,-11.0195,-6.90275,11.2764,0.992957,0.031295,0.111101,0.0209136,0.00674117,0.00251529,0.0076304,0.00677081,0.00252334,0.0106533
circle,-0.648723,-0.755513,0.406541,-0.0299595,0.195162,-0.253605,0.56176,0.988637,0.0278282,0.0589652,0.0536972,0.0929248,0.0717678,0.0188705,0.031936,0.0159314,0.00686163
circle,0.767575,2.43351,4.3413,5.83948,11.4636,7.94582,-10.9493,0.995709,0.0135507,0.0896393,0.014578,0.00308291,0.0059786,0.00450923,0.00411453,0.00704981,0.000562653
circle,0.784073,2.91181,3.89753,5.93314,-11.0439,-7.5459,10.9618,0.998594,0.0121338,0.0420152,0.0282517,0.00338427,0.00761645,0.00194896,0.00132839,0.0044318,0.00233413
circle,0.753445,2.25569,4.45542,5.78057,-11.5174,-7.41292,10.9115,0.995838,0.0332135,0.077404,0.0192813,0.0167206,0.0148927,0.0106926,0.00674623,0.0089595,0.00993686
circle,0.782314,2.74901,4.82732,6.54676,-12.2719,-7.93921,12.6304,0.997382,0.0125361,0.0694519,0.00473605,0.00692745,0.00887841,0.00800832,0.00355988,0.00154954,0.00455741
circle,0.735475,2.07739,4.8493,6.01275,11.8371,7.76142,-11.4825,0.991393,0.00698318,0.12634,0.0152862,0.0265397,0.00249755,0.00958861,0.00598394,0.00516186,0.00556849
circle,0.77685,2.60238,4.66821,6.29845,11.9924,7.87987,-11.8853,0.996972,0.0076858,0.0736945,0.0152917,0.0133266,0.0107774,0.00265132,0.00369729,0.00291832,0.00100051
circle,0.777868,2.63916,4.6255,6.29765,-11.7702,-7.62866,-12.4132,0.996893,0.0105375,0.0763259,0.00887201,0.00567705,0.00675591,0.00645011,0.00674918,0.00336432,0.00345737
circle,0.787164,2.94657,4.34946,6.25121,12.1239,8.80454,-11.5677,0.99863,0.00608367,0.046815,0.0170032,0.00822602,0.00702523,0.00485271,0.00314854,0.00806607,0.00206363
circle,0.767694,2.43824,5.24205,6.64128,-13.0207,-7.99358,12.614,0.996176,0.0102079,0.0820314,0.0178754,0.0147102,0.0118136,0.00661802,0.00437627,0.00746609,0.00243771
circle,0.77702,2.6531,4.01742,5.73008,-10.6039,-7.05768,-12.2715,0.997779,0.0304003,0.0497279,0.0264146,0.0138192,0.0091035,0.00170355,0.000319064,0.00579406,0.00557364
circle,0.769452,2.46705,4.80889,6.23672,11.7958,7.5406,12.166,0.996422,0.00672223,0.0806175,0.00380406,0.0211328,0.00860675,0.00222088,0.0033533,0.00670315,0.00152689
circle,0.790373,3.21373,4.35343,7.43391,13.439,9.13402,13.5258,0.998924,0.00399044,0.0374619,0.0160186,0.0187001,0.00887416,0.00340833,0.00281358,0.00506009,0.00124313
circle,0.786484,2.96447,4.08498,6.07999,11.1796,7.56413,11.7223,0.99841,0.0127984,0.0511883,0.0107133,0.00946758,0.00828066,0.00407339,0.00891736,0.00146904,0.00478434
circle,0.781835,2.74511,4.45347,6.23437,-11.9587,-8.04265,-11.6197,0.997982,0.0102269,0.0584404,0.0201859,0.00371506,0.00280473,0.00345997,0.00275366,0.00683737,0.00398071
circle,0.775687,2.56958,4.756,6.33274,12.2451,8.10244,11.9212,0.996816,0.0148677,0.0771943,0.00717638,0.00572329,0.00434868,0.00194807,0.00545245,0.00507613,0.0039928
circle,0.784198,2.93144,4.16987,6.5904,-11.9709,-8.07399,13.3325,0.997984,0.0124052,0.0564389,0.00368404,0.0223064,0.0106793,0.00546719,0.00306477,0.00487812,0.00028839
circle,-0.5745,-0.367767,0.68623,0.309422,0.845831,0.940597,-1.20144,0.994596,0.00794717,0.0222071,0.0284466,0.0834002,0.0274099,0.0203768,0.0323176,0.00954154,0.0124706
circle,0.791396,3.2213,4.25455,6.51887,12.3996,8.69147,11.9291,0.999085,0.00438252,0.0359422,0.0200131,0.00735032,0.00628951,0.00385082,0.000712951,0.00163002,0.00257295
circle,-0.492565,0.393835,0.206928,1.37764,-2.17823,1.69453,2.88284,0.997267,0.0248171,0.0169834,0.0168062,0.0129122,0.0546111,0.027472,0.00770502,0.0138194,0.0108276
circle,0.768248,2.46051,4.0856,5.44319,10.3514,6.93067,10.365,0.996183,0.0202046,0.0831908,0.0103488,0.00389959,0.0044252,0.00478764,0.00858278,0.00654576,0.00307376
circle,0.74279,2.13432,5.95911,7.07612,13.627,8.19918,14.0174,0.993686,0.00748688,0.10994,0.0122561,0.00942759,0.0047489,0.0071034,0.00306512,0.0106516,0.00316968
circle,0.784597,2.8151,4.91786,6.86418,-13.2724,-9.08627,-12.7762,0.997894,0.00241702,0.0615116,0.0117668,0.0131225,0.00576487,0.00678266,0.000956694,0.00476617,0.00217262
circle,0.681334,1.75938,3.76327,4.51539,8.7079,5.62024,-8.9863,0.980451,0.0326598,0.178197,0.0498318,0.0412684,0.0234542,0.0281469,0.00778542,0.0170292,0.0039125
circle,0.796548,4.028,4.66345,7.74351,-14.4015,-10.2893,-13.9756,0.999785,0.00342243,0.0165798,0.00809574,0.00574811,0.00176492,0.00526022,0.00358413,0.000818441,0.000598133
circle,0.793988,3.4993,4.47267,6.81173,12.8249,8.79558,-12.4973,0.999396,0.00574966,0.0301057,0.0131086,0.00456187,0.00597009,0.00464125,0.00146187,0.00303918,0.00276119
circle,-0.510345,-0.084648,0.724307,2.41938,5.11774,2.5597,-3.99245,0.994909,0.0389261,0.016653,0.0575209,0.0649279,0.0256148,0.00415872,0.0112054,0.0045603,0.0044369
circle,0.776957,2.60927,4.3967,6.09647,12.7967,-8.69185,11.3433,0.997742,0.0143009,0.0623293,0.0188644,0.00384601,0.00232471,0.00390858,0.00111811,0.00455318,0.00280829
square,0.752118,2.49604,4.27175,5.57096,-10.5293,-6.82773,-10.895,0.993731,0.0278756,0.0868191,0.0142481,0.0363805,0.0498675,0.00812755,0.00330995,0.00666999,0.00696609
square,-0.748527,-0.826049,-1.20103,-0.770255,-1.22381,-0.530582,1.73631,0.986133,0.0424798,0.103152,0.0949459,0.0251279,0.0215211,0.040858,0.0240256,0.0491776,0.0179417
square,0.777052,3.15278,3.42209,5.25113,-10.1602,-6.99285,9.60388,0.99656,0.0237236,0.011753,0.0700155,0.028309,0.0109729,0.00522504,0.00966307,0.0122661,0.00849525
